Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Informatik_für_Ingenieure_VL1.pdf;4725768;Andres;Gomez;244;"18.04.2023 15:21";Informatik_für_Ingenieure_VL1.pdf
Informatik_für_Ingenieure_VL2_kommentiert.pdf;1713995;Andres;Gomez;226;"25.04.2023 12:10";Informatik_für_Ingenieure_VL2_kommentiert.pdf
Informatik_für_Ingenieure_VL2_unkommentiert.pdf;1087304;Andres;Gomez;115;"02.05.2023 09:38";Informatik_für_Ingenieure_VL2_unkommentiert.pdf
Informatik_für_Ingenieure_VL3.pdf;1544569;Andres;Gomez;176;"09.05.2023 09:32";Informatik_für_Ingenieure_VL3.pdf
Informatik_für_Ingenieure_VL4_kommentiert.pdf;1574846;Andres;Gomez;170;"10.05.2023 16:13";Informatik_für_Ingenieure_VL4_kommentiert.pdf
Informatik_für_Ingenieure_VL4_unkommentiert.pdf;1046462;Andres;Gomez;72;"10.05.2023 16:13";Informatik_für_Ingenieure_VL4_unkommentiert.pdf
Informatik_für_Ingenieure_VL5_kommentiert.pdf;2510250;Andres;Gomez;174;"19.05.2023 12:00";Informatik_für_Ingenieure_VL5_kommentiert.pdf
Informatik_für_Ingenieure_VL5_unkommentiert.pdf;2345636;Andres;Gomez;92;"23.05.2023 09:21";Informatik_für_Ingenieure_VL5_unkommentiert.pdf
Informatik_für_Ingenieure_VL6_kommentiert.pdf;1787887;Andres;Gomez;158;"23.05.2023 14:03";Informatik_für_Ingenieure_VL6_kommentiert.pdf
Informatik_für_Ingenieure_VL6_unkommentiert.pdf;1297674;Andres;Gomez;86;"23.05.2023 11:15";Informatik_für_Ingenieure_VL6_unkommentiert.pdf
Informatik_für_Ingenieure_VL7_kommentiert.pdf;1435159;Andres;Gomez;171;"23.05.2023 14:03";Informatik_für_Ingenieure_VL7_kommentiert.pdf
Informatik_für_Ingenieure_VL7_unkommentiert.pdf;991392;Andres;Gomez;55;"14.06.2023 07:39";Informatik_für_Ingenieure_VL7_unkommentiert.pdf
Informatik_für_Ingenieure_VL8_kommentiert.pdf;1197884;Andres;Gomez;140;"14.06.2023 07:48";Informatik_für_Ingenieure_VL8_kommentiert.pdf
Informatik_für_Ingenieure_VL8_unkommentiert.pdf;1120908;Andres;Gomez;62;"14.06.2023 07:48";Informatik_für_Ingenieure_VL8_unkommentiert.pdf
Informatik_für_Ingenieure_VL9_unkommentiert.pdf;1438602;Andres;Gomez;129;"20.06.2023 09:34";Informatik_für_Ingenieure_VL9_unkommentiert.pdf
Informatik_für_Ingenieure_VL10_unkommentiert.pdf;1440526;Andres;Gomez;104;"04.07.2023 09:41";Informatik_für_Ingenieure_VL10_unkommentiert.pdf
Informatik_für_Ingenieure_VL11_unkommentiert.pdf;2317683;Andres;Gomez;119;"04.07.2023 09:41";Informatik_für_Ingenieure_VL11_unkommentiert.pdf
Informatik_für_Ingenieure_VL12_unkommentiert.pdf;1475163;Andres;Gomez;119;"11.07.2023 09:40";Informatik_für_Ingenieure_VL12_unkommentiert.pdf
