Name,ID,A1,A2,A3,A4,A5,Sum,Note
Person1,9463609,5,6,5,4,4,24,5.0
Person2,6801426,7,9,13,5,10,44,5.0
Person3,3459781,10,15,15,8,12,60,3.3
Person4,1943199,13,19,13,17,12,74,2.7
Person5,5459029,9,9,13,6,7,44,5.0
Person6,2633960,10,12,18,10,6,56,3.7
Person7,9552225,19,13,19,15,9,75,2.3
Person8,9690948,15,15,13,16,4,63,3.3
Person9,3538302,12,10,13,10,9,54,4.0
Person10,4368818,18,18,16,13,15,80,2.0
Person11,5637060,12,13,18,17,6,66,3.0
Person12,2328857,14,14,18,10,9,65,3.0
Person13,2134315,15,12,17,14,10,68,3.0
Person14,4865943,6,11,18,10,2,47,5.0
Person15,4769178,10,12,16,16,7,61,3.3
Person16,8470445,16,16,17,10,9,68,3.0
Person17,6178016,18,18,13,13,8,70,2.7
Person18,5981288,15,15,15,13,17,75,2.3
Person19,6930327,16,16,20,17,13,82,2.0
Person20,7162496,8,8,6,7,5,34,5.0
Person21,9325199,8,11,6,8,0,33,5.0
Person22,1410736,10,14,12,7,3,46,5.0
Person23,3708060,17,15,17,15,7,71,2.7
Person24,7884165,18,18,16,10,13,75,2.3
Person25,1635757,10,8,10,5,4,37,5.0
Person26,2604962,16,15,17,11,15,74,2.7
Person27,9132218,19,16,17,12,14,78,2.3
Person28,8174230,11,11,19,14,15,70,2.7
Person29,1354800,13,20,16,13,13,75,2.3
Person30,8836002,16,8,6,5,4,39,5.0
Person31,8058821,14,17,17,10,10,68,3.0
Person32,3634577,13,17,12,10,11,63,3.3
Person33,2757745,19,18,19,20,20,96,1.0
Person34,8596245,11,13,8,10,11,53,4.0
Person35,9526081,16,14,18,12,11,71,2.7
Person36,7387112,14,16,18,12,11,71,2.7
Person37,6958051,20,19,19,18,9,85,1.7
Person38,4209512,7,12,17,11,8,55,3.7
Person39,3274972,15,17,14,15,6,67,3.0
Person40,2958774,18,12,18,8,12,68,3.0
Person41,4110318,19,17,17,17,16,86,1.7
Person42,5600532,18,18,9,11,12,68,3.0
Person43,1875164,14,12,16,9,9,60,3.3
Person44,3600342,15,18,20,15,11,79,2.3
Person45,9345087,16,18,19,15,17,85,1.7
Person46,2181792,17,15,15,9,9,65,3.0
Person47,2334070,18,19,15,11,8,71,2.7
Person48,9797828,15,14,15,13,8,65,3.0
Person49,7144739,7,7,5,3,5,27,5.0
Person50,6191364,10,20,15,12,7,64,3.3
Person51,1883431,0,0,0,0,0,0,5.0
Person52,9505782,20,19,19,18,17,93,1.3
Person53,5630367,9,10,6,0,4,29,5.0
Person54,2677213,9,6,12,7,0,34,5.0
Person55,8173562,15,19,19,20,15,88,1.7
Person56,9002656,14,8,17,14,14,67,3.0
Person57,8751620,18,11,17,14,10,70,2.7
Person58,6122449,19,18,13,20,15,85,1.7
Person59,6246238,17,18,11,18,14,78,2.3
Person60,3361453,10,17,11,16,10,64,3.3
Person61,9813998,14,11,13,16,12,66,3.0
Person62,5852606,16,14,18,15,12,75,2.3
Person63,4421304,11,19,12,12,15,69,3.0
Person64,7078985,8,12,17,15,11,63,3.3
Person65,1796405,18,18,14,19,15,84,2.0
Person66,1778815,18,17,19,18,15,87,1.7
Person67,1160315,12,14,15,14,1,56,3.7
Person68,9985340,6,4,0,0,4,14,5.0
Person69,5312116,17,18,14,15,16,80,2.0
Person70,5425921,16,15,15,17,3,66,3.0
Person71,5104489,20,20,17,20,18,95,1.0
Person72,3657091,16,20,13,12,12,73,2.7
Person73,2502898,18,10,19,17,8,72,2.7
Person74,6513009,18,19,18,20,13,88,1.7
Person75,3324451,17,18,15,17,11,78,2.3
Person76,5473245,11,8,10,17,8,54,4.0
Person77,3969571,13,14,20,20,14,81,2.0
Person78,8480435,17,18,18,20,5,78,2.3
Person79,8333644,14,16,15,12,10,67,3.0
Person80,8455180,12,12,19,20,9,72,2.7
Person81,9792676,20,14,15,14,7,70,2.7
Person82,3932040,7,9,10,9,8,43,5.0
Person83,3785044,16,15,15,19,13,78,2.3
Person84,6933831,16,18,17,20,13,84,2.0
Person85,9155942,0,0,0,0,0,0,5.0
Person86,9716954,9,7,10,5,2,33,5.0
Person87,5591503,13,8,10,14,3,48,5.0
Person88,1938206,10,13,17,11,7,58,3.7
Person89,2852304,13,8,10,16,3,50,4.0
Person90,4598281,11,10,12,16,8,57,3.7
