Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
OR_01_Einführung_1_WS2425.pdf;649288;Felix;Spühler;1015;"11.10.2024 12:09";OR_01_Einführung_1_WS2425.pdf
OR_02_Einführung_2_WS2425.pdf;735732;Felix;Spühler;782;"11.10.2024 12:09";OR_02_Einführung_2_WS2425.pdf
OR_03_Simplex_Sonderfälle_WS2425.pdf;642943;Felix;Spühler;624;"11.10.2024 12:09";OR_03_Simplex_Sonderfälle_WS2425.pdf
OR_04_Sensitivitätsanalyse_WS2425.pdf;630239;Felix;Spühler;432;"11.10.2024 12:09";OR_04_Sensitivitätsanalyse_WS2425.pdf
OR_05_DualerSimplex_Dualität_WS2425.pdf;484100;Felix;Spühler;382;"11.10.2024 12:09";OR_05_DualerSimplex_Dualität_WS2425.pdf
OR_06_GanzzahligeProgrammierung_BranchAndBound_WS2425.pdf;560374;Felix;Spühler;408;"11.10.2024 12:09";OR_06_GanzzahligeProgrammierung_BranchAndBound_WS2425.pdf
OR_07_MehrfacheZielesetzung_Modellierungstechniken_WS2425.pdf;873026;Felix;Spühler;311;"11.10.2024 12:09";OR_07_MehrfacheZielesetzung_Modellierungstechniken_WS2425.pdf
OR_08_SpannendeBäume_KürzesteWege_WS2425.pdf;1167041;Felix;Spühler;296;"11.10.2024 12:09";OR_08_SpannendeBäume_KürzesteWege_WS2425.pdf
OR_09_MaximaleFlüsse_KantenorientieresRundreisen_WS2425.pdf;1055619;Felix;Spühler;230;"11.10.2024 12:09";OR_09_MaximaleFlüsse_KantenorientieresRundreisen_WS2425.pdf
OR_10_TSP_WS2425.pdf;927209;Felix;Spühler;172;"11.10.2024 12:09";OR_10_TSP_WS2425.pdf
OR_11_Heuristiken_WS2425.pdf;1235601;Felix;Spühler;163;"11.10.2024 12:08";OR_11_Heuristiken_WS2425.pdf
OR_12_Metaheuristiken_WS2425.pdf;637855;Felix;Spühler;169;"11.10.2024 12:09";OR_12_Metaheuristiken_WS2425.pdf
